g_ptsx,g_ptsy
6.01E-04,0.00468744
6.02E-04,0.00466879
6.03E-04,0.0046424
6.03E-04,0.00462368
6.04E-04,0.00459735
6.05E-04,0.00457856
6.05E-04,0.0045523
6.06E-04,0.00453345
6.07E-04,0.00450726
6.08E-04,0.00448833
6.08E-04,0.00446221
6.09E-04,0.00444322
6.10E-04,0.00441717
6.10E-04,0.00439807
6.11E-04,0.00437252
6.12E-04,0.00435809
6.12E-04,0.00433787
6.13E-04,0.00432417
6.14E-04,0.00430392
6.14E-04,0.00429018
6.15E-04,0.00426998
6.16E-04,0.00425619
6.16E-04,0.00423604
6.17E-04,0.00422219
6.18E-04,0.00420211
6.19E-04,0.00418819
6.19E-04,0.00416818
6.20E-04,0.0041542
6.21E-04,0.00413425
6.21E-04,0.0041202
6.22E-04,0.00410031
6.23E-04,0.0040862
6.23E-04,0.00406638
6.24E-04,0.0040522
6.25E-04,0.00403245
6.25E-04,0.00401821
6.26E-04,0.00399852
6.27E-04,0.00398421
6.28E-04,0.00396459
6.28E-04,0.00395021
6.29E-04,0.00393065
6.30E-04,0.00391621
6.30E-04,0.00389672
6.31E-04,0.00388221
6.32E-04,0.00386279
6.32E-04,0.00384822
6.33E-04,0.00382886
6.34E-04,0.00381422
6.34E-04,0.00379493
6.35E-04,0.00378022
6.36E-04,0.00376099
6.36E-04,0.00374622
6.37E-04,0.00372706
6.38E-04,0.00371222
6.39E-04,0.00369313
6.39E-04,0.00367822
6.40E-04,0.0036592
6.41E-04,0.00364422
6.41E-04,0.00362527
6.42E-04,0.00361022
6.43E-04,0.00359135
6.43E-04,0.00357621
6.44E-04,0.00355744
6.45E-04,0.00354221
6.45E-04,0.00352616
6.46E-04,0.00351531
6.47E-04,0.00350062
6.48E-04,0.00348958
6.48E-04,0.003475
6.49E-04,0.00346387
6.50E-04,0.00344938
6.50E-04,0.00343816
6.51E-04,0.00342375
6.52E-04,0.00341246
6.52E-04,0.00339811
6.53E-04,0.00338676
6.54E-04,0.00337248
6.54E-04,0.00336107
6.55E-04,0.00334685
6.56E-04,0.00333537
6.57E-04,0.00332121
6.57E-04,0.00330967
6.58E-04,0.00329558
6.59E-04,0.00328397
6.59E-04,0.00326995
6.60E-04,0.00325827
6.61E-04,0.00324431
6.61E-04,0.00323258
6.62E-04,0.00321868
6.63E-04,0.00320688
6.63E-04,0.00319304
6.64E-04,0.00318118
6.65E-04,0.00316741
6.65E-04,0.00315549
6.66E-04,0.00314177
6.67E-04,0.00312979
6.68E-04,0.00311614
6.68E-04,0.00310409
6.69E-04,0.0030905
6.70E-04,0.0030784
6.70E-04,0.00306486
6.71E-04,0.0030527
6.72E-04,0.00303923
6.72E-04,0.003027
6.73E-04,0.00301359
6.74E-04,0.00300131
6.74E-04,0.00298796
6.75E-04,0.00297561
6.76E-04,0.00296232
6.77E-04,0.00294991
6.77E-04,0.00293669
6.78E-04,0.00292421
6.79E-04,0.00291106
6.79E-04,0.00289849
6.80E-04,0.00288569
6.81E-04,0.00287573
6.81E-04,0.00286572
6.82E-04,0.00285604
6.83E-04,0.00284605
6.83E-04,0.00283632
6.84E-04,0.00282638
6.85E-04,0.0028166
6.86E-04,0.00280672
6.86E-04,0.00279688
6.87E-04,0.00278706
6.88E-04,0.00277716
6.88E-04,0.00276739
6.89E-04,0.00275744
6.90E-04,0.00274773
6.90E-04,0.00273772
6.91E-04,0.00272807
6.92E-04,0.002718
6.92E-04,0.0027084
6.93E-04,0.00269828
6.94E-04,0.00268874
6.94E-04,0.00267855
6.95E-04,0.00266908
6.96E-04,0.00265883
6.97E-04,0.00264941
6.97E-04,0.00263911
6.98E-04,0.00262975
6.99E-04,0.00261939
6.99E-04,0.00261008
7.00E-04,0.00259967
7.01E-04,0.00259042
7.01E-04,0.00257995
7.02E-04,0.00257075
7.03E-04,0.00256023
7.03E-04,0.00255109
7.04E-04,0.00254051
7.05E-04,0.00253143
7.06E-04,0.00252079
7.06E-04,0.00251176
7.07E-04,0.00250107
7.08E-04,0.0024921
7.08E-04,0.00248135
7.09E-04,0.00247243
7.10E-04,0.00246163
7.10E-04,0.00245277
7.11E-04,0.00244191
7.12E-04,0.0024331
7.12E-04,0.00242219
7.13E-04,0.00241343
7.14E-04,0.00240247
7.15E-04,0.00239377
7.15E-04,0.00238275
7.16E-04,0.00237419
7.17E-04,0.00236491
7.17E-04,0.00235874
7.18E-04,0.00234988
7.19E-04,0.0023437
7.19E-04,0.00233481
7.20E-04,0.00232867
7.21E-04,0.00231974
7.21E-04,0.00231365
7.22E-04,0.00230466
7.23E-04,0.00229862
7.23E-04,0.00228959
7.24E-04,0.0022836
7.25E-04,0.00227451
7.26E-04,0.00226858
7.26E-04,0.00225943
7.27E-04,0.00225355
7.28E-04,0.00224436
7.28E-04,0.00223853
7.29E-04,0.00222928
7.30E-04,0.0022235
7.30E-04,0.00221421
7.31E-04,0.00220848
7.32E-04,0.00219913
7.32E-04,0.00219346
7.33E-04,0.00218406
7.34E-04,0.00217843
7.35E-04,0.00216898
7.35E-04,0.00216341
7.36E-04,0.00215391
7.37E-04,0.00214838
7.37E-04,0.00213883
7.38E-04,0.00213336
7.39E-04,0.00212376
7.39E-04,0.00211834
