g_ptsx,g_ptsy
5.61E-04,0.046499092
5.62E-04,0.046389288
5.63E-04,0.046269346
5.63E-04,0.046159483
5.64E-04,0.0460396
5.65E-04,0.045929679
5.65E-04,0.045809853
5.66E-04,0.045699875
5.67E-04,0.045580106
5.67E-04,0.045470071
5.68E-04,0.045350358
5.69E-04,0.045240269
5.70E-04,0.045120609
5.70E-04,0.045010467
5.71E-04,0.044890858
5.72E-04,0.044780667
5.72E-04,0.044661105
5.73E-04,0.044550871
5.74E-04,0.044431348
5.74E-04,0.04432108
5.75E-04,0.044201583
5.76E-04,0.044091303
5.76E-04,0.043971797
5.77E-04,0.04386155
5.78E-04,0.043742227
5.79E-04,0.043642676
5.79E-04,0.043539927
5.80E-04,0.043444602
5.81E-04,0.043341433
5.81E-04,0.043246246
5.82E-04,0.04314303
5.83E-04,0.04304785
5.83E-04,0.042944648
5.84E-04,0.042849442
5.85E-04,0.042746274
5.85E-04,0.042651028
5.86E-04,0.042547904
5.87E-04,0.042452612
5.87E-04,0.042349535
5.88E-04,0.042254194
5.89E-04,0.042151168
5.90E-04,0.042055775
5.90E-04,0.041952802
5.91E-04,0.041857355
5.92E-04,0.041754436
5.92E-04,0.041658935
5.93E-04,0.041556071
5.94E-04,0.041460514
5.94E-04,0.041357706
5.95E-04,0.041262094
5.96E-04,0.041159341
5.96E-04,0.041063673
5.97E-04,0.040960976
5.98E-04,0.040865252
5.99E-04,0.040762611
5.99E-04,0.040666832
6.00E-04,0.040564246
6.01E-04,0.040468411
6.01E-04,0.040365882
6.02E-04,0.04026999
6.03E-04,0.040167517
6.03E-04,0.040071569
6.04E-04,0.039969152
6.05E-04,0.039873149
6.05E-04,0.039770787
6.06E-04,0.039674728
6.07E-04,0.039572422
6.08E-04,0.039476306
6.08E-04,0.039374059
6.09E-04,0.039277879
6.10E-04,0.039175714
6.10E-04,0.039079375
6.11E-04,0.038978291
6.12E-04,0.038893354
6.12E-04,0.038805043
6.13E-04,0.038721952
6.14E-04,0.038633458
6.14E-04,0.038550398
6.15E-04,0.038461917
6.16E-04,0.038378826
6.16E-04,0.038290385
6.17E-04,0.038207249
6.18E-04,0.038118856
6.19E-04,0.03803567
6.19E-04,0.037947329
6.20E-04,0.03786409
6.21E-04,0.037775802
6.21E-04,0.037692509
6.22E-04,0.037604276
6.23E-04,0.037520928
6.23E-04,0.03743275
6.24E-04,0.037349347
6.25E-04,0.037261224
6.25E-04,0.037177765
6.26E-04,0.037089699
6.27E-04,0.037006183
6.28E-04,0.036918173
6.28E-04,0.036834602
6.29E-04,0.036746648
6.30E-04,0.03666302
6.30E-04,0.036575123
6.31E-04,0.036491438
6.32E-04,0.036403598
6.32E-04,0.036319855
6.33E-04,0.036232074
6.34E-04,0.036148272
6.34E-04,0.03606055
6.35E-04,0.035976689
6.36E-04,0.035889026
6.36E-04,0.035805105
6.37E-04,0.035717503
6.38E-04,0.03563352
6.39E-04,0.035545982
6.39E-04,0.035461933
6.40E-04,0.035374464
6.41E-04,0.035290342
6.41E-04,0.03520295
6.42E-04,0.035118744
6.43E-04,0.035031449
6.43E-04,0.034947125
6.44E-04,0.034859982
6.45E-04,0.034775555
6.45E-04,0.034695743
6.46E-04,0.034623484
6.47E-04,0.034547308
6.48E-04,0.034474626
6.48E-04,0.034398659
6.49E-04,0.034325839
6.50E-04,0.034249978
6.50E-04,0.034177068
6.51E-04,0.034101287
6.52E-04,0.034028304
6.52E-04,0.033952592
6.53E-04,0.033879542
6.54E-04,0.033803894
6.54E-04,0.033730783
6.55E-04,0.033655195
6.56E-04,0.033582025
6.57E-04,0.033506495
6.57E-04,0.033433267
6.58E-04,0.033357795
6.59E-04,0.03328451
6.59E-04,0.033209094
6.60E-04,0.033135754
6.61E-04,0.033060392
6.61E-04,0.032986998
6.62E-04,0.032911691
6.63E-04,0.032838242
6.63E-04,0.032762989
6.64E-04,0.032689486
6.65E-04,0.032614287
6.65E-04,0.03254073
6.66E-04,0.032465584
6.67E-04,0.032391975
6.68E-04,0.032316882
6.68E-04,0.03224322
6.69E-04,0.032168179
6.70E-04,0.032094465
6.70E-04,0.032019477
6.71E-04,0.03194571
6.72E-04,0.031870774
6.72E-04,0.031796955
6.73E-04,0.031722072
6.74E-04,0.031648199
6.74E-04,0.031573369
6.75E-04,0.031499444
6.76E-04,0.031424668
6.77E-04,0.031350686
6.77E-04,0.031275969
6.78E-04,0.031201922
6.79E-04,0.031127291
6.79E-04,0.031053081
6.80E-04,0.03097946
6.81E-04,0.030913775
6.81E-04,0.030848983
6.82E-04,0.030784348
6.83E-04,0.030719473
6.83E-04,0.030654833
6.84E-04,0.030589986
6.85E-04,0.030525309
6.86E-04,0.030460504
6.86E-04,0.030395782
6.87E-04,0.030331024
6.88E-04,0.030266254
6.88E-04,0.030201544
6.89E-04,0.030136726
6.90E-04,0.030072064
6.90E-04,0.030007198
6.91E-04,0.029942584
6.92E-04,0.02987767
6.92E-04,0.029813104
6.93E-04,0.029748142
6.94E-04,0.029683625
6.94E-04,0.029618614
6.95E-04,0.029554145
6.96E-04,0.029489086
6.97E-04,0.029424665
6.97E-04,0.029359558
6.98E-04,0.029295185
6.99E-04,0.02923003
6.99E-04,0.029165705
7.00E-04,0.029100503
7.01E-04,0.029036224
7.01E-04,0.028970975
7.02E-04,0.028906744
7.03E-04,0.028841448
7.03E-04,0.028777263
7.04E-04,0.028711921
7.05E-04,0.028647782
7.06E-04,0.028582394
7.06E-04,0.028518301
7.07E-04,0.028452867
7.08E-04,0.028388819
7.08E-04,0.028323341
7.09E-04,0.028259337
7.10E-04,0.028193816
7.10E-04,0.028129855
7.11E-04,0.028064291
7.12E-04,0.028000371
7.12E-04,0.027934768
7.13E-04,0.027870885
7.14E-04,0.027805247
7.15E-04,0.027741398
